id;text;gold;hisnet_prediction;hisnet_positive_score;hisnet_negative_score;hisnet_correct;lexicon_coverage;sentiment_coverage;dependency_prediction;dependency_positive_score;dependency_negative_score;dependency_correct;prediction_changed;improved;degraded;changed_but_still_wrong;has_negation;has_modifier;has_contrast;has_suppression;scope_count;active_opinion_count;suppressed_count;opinions;targets;modifiers;negations;contrasts;operations;operation_list;has_negation_flip;has_suppression_operation;has_modifier_operation;has_contrast_operation;score_operation_group;operation_signature;positive_score_difference;negative_score_difference;score_changed
15;..adam sandler ve özellikle drew barrymore rollerinde harikalar hala izlemediyseniz kaçırmayın!;positive;positive;1.0;0.0227272727272727;True;0.5454545454545454;0.1818181818181818;negative;0.0;1.0227272727272727;False;True;False;True;False;True;False;False;False;2;2;0;"[""adam"", ""harika""]";[];[];"[""kaçır""]";[];"[""negation_flip""]";['negation_flip'];True;False;False;False;negation only;negation_flip;-1.0;1.0;True
74;?Mümkün diil müthiş bi film zaten birlikte son yaptıkları 50 ilk öpücük de inanılmaz güzel bi film bu ikiliye dikkat çok yakışıyolar birbirilerine!!:));positive;positive;1.7045454545454546;0.5208333333333334;True;0.782608695652174;0.2608695652173913;negative;0.25;1.975378787878788;False;True;False;True;False;True;False;False;False;6;6;0;"[""müthiş"", ""son"", ""öpücük"", ""de"", ""inanılmaz"", ""güzel""]";"[""film"", ""dikkat"", ""film""]";[];"[""inan"", ""inan""]";[];"[""negation_flip"", ""negation_flip""]";['negation_flip', 'negation_flip'];True;False;False;False;negation only;negation_flip;-1.4545454545454546;1.4545454545454546;True
144;hoşş bi film ama amatorce yapılmış chook hata var mesela filmin konusu bence o kadar da etkileyici değil ama yinede bizim bütün kokru filimlerimizden daha kaliteli:;positive;positive;2.0;0.1893939393939394;True;0.6923076923076923;0.1538461538461538;negative;1.0;1.1893939393939394;False;True;False;True;False;True;True;True;False;4;4;0;"[""hata"", ""da"", ""etkileyici"", ""kaliteli""]";"[""konu""]";"[""yinede"", ""daha""]";"[""değil""]";"[""ama""]";"[""negation_flip"", ""modifier_detected"", ""contrast_detected""]";['negation_flip', 'modifier_detected', 'contrast_detected'];True;False;True;True;negation only;contrast_detected + modifier_detected + negation_flip;-1.0;1.0;True
159;"""çok güzel sıkmayan filmlerden izleyeli 5 sene olduysada filmin finalinde kadının 3. dileğini unutmadım""""""";positive;positive;0.4545454545454545;0.0;True;0.7857142857142857;0.0714285714285714;negative;0.0;0.4545454545454545;False;True;False;True;False;True;True;False;False;1;1;0;"[""güzel""]";[];"[""\""çok""]";"[""sık""]";[];"[""negation_flip"", ""modifier_detected""]";['negation_flip', 'modifier_detected'];True;False;True;False;negation only;modifier_detected + negation_flip;-0.4545454545454545;0.4545454545454545;True
193;filmi hiç beyenmedim.;negative;negative;0.0;0.5;True;0.6666666666666666;0.3333333333333333;positive;0.5;0.0;False;True;False;True;False;True;False;False;False;1;1;0;"[""hiç""]";"[""film""]";[];"[""beyen""]";[];"[""negation_flip""]";['negation_flip'];True;False;False;False;negation only;negation_flip;0.5;-0.5;True
212;"""İnsanlar daha güvenli bir yerlere gitmek için savaş muhabirleri aracılığıyla seslerini dünyaya duyurmaya çalışırken gelen """"""""sözde devlet adamlarının"""""""" kocaman askeri kargo uçaklarıyla kimseyi kurtarmayıp bürokrasi engeline takılmaları insanı çileden çıkarıyor.""";negative;negative;0.715625;1.6477272727272727;True;0.8333333333333334;0.2333333333333333;positive;1.715625;0.6477272727272727;False;True;False;True;False;True;False;False;False;7;7;0;"[""güvenli"", ""yer"", ""savaş"", ""devlet"", ""adam"", ""engel"", ""takılma""]";"[""insan"", ""insan""]";[];"[""kurtar""]";[];"[""negation_flip""]";['negation_flip'];True;False;False;False;negation only;negation_flip;1.0;-1.0;True
242;filmin türü komedi yazıodu fakat ben nedense hiç gülmedim.;negative;negative;0.0;0.5;True;0.8888888888888888;0.1111111111111111;positive;0.5;0.0;False;True;False;True;False;True;False;True;False;1;1;0;"[""hiç""]";"[""ben""]";[];"[""gül""]";"[""fakat""]";"[""negation_flip"", ""contrast_detected""]";['negation_flip', 'contrast_detected'];True;False;False;True;negation only;contrast_detected + negation_flip;0.5;-0.5;True
251;. Böyle iki oyuncunun bir araya geldiği bir film böylesi sıkıcı olamaz ya.;negative;negative;0.0;1.0;True;0.9166666666666666;0.0833333333333333;positive;1.0;0.0;False;True;False;True;False;True;True;False;False;1;1;0;"[""sıkıcı""]";"[""film""]";"[""böylesi""]";"[""ol""]";[];"[""negation_flip"", ""modifier_detected""]";['negation_flip', 'modifier_detected'];True;False;True;False;negation only;modifier_detected + negation_flip;1.0;-1.0;True
255;. dakikalar geçtikçe hayretler içinde kalarak gözümü ekrandan ayıramadım.;positive;positive;0.75;0.0;True;0.875;0.125;negative;0.0;0.75;False;True;False;True;False;True;False;False;False;1;1;0;"[""gözüm""]";[];[];"[""ayır""]";[];"[""negation_flip""]";['negation_flip'];True;False;False;False;negation only;negation_flip;-0.75;0.75;True
400;çok güzel bir kurgu inanılmaz bir film hele sonu harika;positive;positive;2.4545454545454546;0.125;True;1.0;0.4;negative;0.4545454545454545;1.125;False;True;False;True;False;True;True;False;False;3;3;0;"[""güzel"", ""inanılmaz"", ""son""]";"[""kurgu"", ""kurgu"", ""film""]";"[""çok""]";"[""inan""]";[];"[""modifier_detected"", ""negation_flip""]";['modifier_detected', 'negation_flip'];True;False;True;False;negation only;modifier_detected + negation_flip;-2.0;1.0;True
416;arkadaşlar bu tür filmler her zaman bulunmaz bence ne yapıp edin ve bu filmi izleyin.;positive;positive;0.5;0.0;True;0.8;0.0666666666666666;negative;0.0;0.5;False;True;False;True;False;True;False;False;False;1;1;0;"[""arkadaş""]";"[""film""]";[];"[""bulun""]";[];"[""negation_flip""]";['negation_flip'];True;False;False;False;negation only;negation_flip;-0.5;0.5;True
419;Gişede iş yapmadı ama bence sinema tarihininin en iyilerinden;positive;positive;0.6111111111111112;0.0;True;0.7777777777777778;0.1111111111111111;negative;0.0;0.6111111111111112;False;True;False;True;False;True;True;True;False;1;1;0;"[""iyi""]";"[""iş""]";"[""en""]";"[""yap""]";"[""ama""]";"[""negation_flip"", ""modifier_detected"", ""contrast_detected""]";['negation_flip', 'modifier_detected', 'contrast_detected'];True;False;True;True;negation only;contrast_detected + modifier_detected + negation_flip;-0.6111111111111112;0.6111111111111112;True
452;filmi çok beğendim ama şurası burası güzel diye anlatamayacağım çünkü başlı başına müthiş bi film çok seveceksiniz mutlaka izlenmeli.;positive;positive;0.4545454545454545;0.375;True;0.7368421052631579;0.1052631578947368;negative;0.0;0.8295454545454546;False;True;False;True;False;True;False;True;False;2;2;0;"[""güzel"", ""müthiş""]";"[""burası"", ""film""]";[];"[""anlat""]";"[""ama""]";"[""negation_flip"", ""contrast_detected""]";['negation_flip', 'contrast_detected'];True;False;False;True;negation only;contrast_detected + negation_flip;-0.4545454545454545;0.4545454545454546;True
517;Ben bu kadar karizmadan uzak bir kötü bond karakteri görmedim.;negative;negative;0.25;2.025;True;0.9;0.4;positive;1.25;1.025;False;True;False;True;False;True;False;False;False;4;4;0;"[""karizma"", ""uzak"", ""kötü"", ""gör""]";"[""karakter"", ""bond"", ""ben""]";[];"[""gör""]";[];"[""negation_flip""]";['negation_flip'];True;False;False;False;negation only;negation_flip;1.0;-1.0;True
529;Filmi başarılı bulsam da diğer 3 Brosnan filmi kadar başarılı değil bana göre.;positive;positive;2.0;0.0227272727272727;True;0.9230769230769232;0.2307692307692307;negative;1.0;1.0227272727272727;False;True;False;True;False;True;False;False;False;3;3;0;"[""başarılı"", ""da"", ""başarılı""]";"[""film"", ""film""]";[];"[""değil""]";[];"[""negation_flip""]";['negation_flip'];True;False;False;False;negation only;negation_flip;-1.0;1.0;True
560;Ne hayatların ne umutların ne servetlerin oksanusun derinliklerine kayıp gittiği böylesi bir gemi kazası bile düşündükçe tüylerimizi diken diken etmeye yetiyor zaten.;neutral;neutral;0.375;0.375;True;0.8181818181818182;0.1363636363636363;negative;0.0;0.375;False;True;False;True;False;False;False;False;True;3;2;1;"[""umut"", ""kayıp"", ""etme""]";"[""umut"", ""tüy""]";[];[];[];"[""suppressed_as_target""]";['suppressed_as_target'];False;True;False;False;suppression only;suppressed_as_target;-0.375;0.0;True
632;inanılmaz abartılan avatardan milyon kat daha iyi bir film.;positive;positive;1.6111111111111112;0.0;True;0.7777777777777778;0.2222222222222222;negative;0.6111111111111112;1.0;False;True;False;True;False;True;False;False;False;2;2;0;"[""inanılmaz"", ""iyi""]";"[""film""]";[];"[""inan""]";[];"[""negation_flip""]";['negation_flip'];True;False;False;False;negation only;negation_flip;-1.0;1.0;True
649;İmkansız bir aşk.;positive;positive;1.0;0.25;True;1.0;0.6666666666666666;negative;0.0;0.25;False;True;False;True;False;False;False;False;True;2;1;1;"[""imkansız"", ""aşk""]";"[""aşk""]";[];[];[];"[""suppressed_as_target""]";['suppressed_as_target'];False;True;False;False;suppression only;suppressed_as_target;-1.0;0.0;True
684;evet en iyi film bu bundan iyisi yapılamaz.;positive;positive;1.2222222222222223;0.0;True;0.875;0.25;neutral;0.6111111111111112;0.6111111111111112;False;True;False;True;False;True;True;False;False;2;2;0;"[""iyi"", ""iyi""]";"[""film"", ""bu""]";"[""en""]";"[""yap""]";[];"[""modifier_detected"", ""negation_flip""]";['modifier_detected', 'negation_flip'];True;False;True;False;negation only;modifier_detected + negation_flip;-0.6111111111111112;0.6111111111111112;True
756;.100den fazla izlediğime adım gibi eminim(abartmıyorum)nasıl bu film 9.;positive;positive;0.1875;0.0;True;0.7272727272727273;0.0909090909090909;negative;0.0;0.1875;False;True;False;True;False;True;True;False;False;1;1;0;"[""emin""]";[];"[""adım""]";"[""abar""]";[];"[""negation_flip"", ""modifier_detected""]";['negation_flip', 'modifier_detected'];True;False;True;False;negation only;modifier_detected + negation_flip;-0.1875;0.1875;True
781;daha iyisi yapılana dek(ki hic sanmıyorum) en iyi bu;positive;positive;1.2222222222222223;0.0;True;0.8;0.2;neutral;0.6111111111111112;0.6111111111111112;False;True;False;True;False;True;True;False;False;2;2;0;"[""iyi"", ""iyi""]";"[""bu""]";"[""daha"", ""en""]";"[""san""]";[];"[""modifier_detected"", ""negation_flip"", ""modifier_detected""]";['modifier_detected', 'negation_flip', 'modifier_detected'];True;False;True;False;negation only;modifier_detected + negation_flip;-0.6111111111111112;0.6111111111111112;True
943;İnsanlar filmi 8-10 defa izlediler sonra beğenmediler de 1 puan verdiler öyle mi?;negative;negative;0.0;0.0208333333333333;True;0.7857142857142857;0.0714285714285714;positive;0.0208333333333333;0.0;False;True;False;True;False;True;False;False;False;1;1;0;"[""de""]";[];[];"[""beğen""]";[];"[""negation_flip""]";['negation_flip'];True;False;False;False;negation only;negation_flip;0.0208333333333333;-0.0208333333333333;True
955;tek kelimeyle harikaydı ilk sinemada izledim ve etkisinden uzun zaman kurtulamadım aradan kaç yıl geçti her izlediğimde aynı etkiyi yapıyo mutlaka izleyin diyeceğim ama zaten izlemeyen yoktur:);positive;positive;1.0;0.2351190476190476;True;0.7777777777777778;0.1111111111111111;negative;0.2142857142857142;1.0208333333333333;False;True;False;True;False;True;True;True;False;3;3;0;"[""harika"", ""de"", ""yok""]";"[""kelime"", ""kelime"", ""kelime""]";"[""zaten""]";"[""kurtula"", ""izle""]";"[""ama""]";"[""negation_flip"", ""negation_flip"", ""modifier_detected"", ""contrast_detected""]";['negation_flip', 'negation_flip', 'modifier_detected', 'contrast_detected'];True;False;True;True;negation only;contrast_detected + modifier_detected + negation_flip;-0.7857142857142858;0.7857142857142857;True
1023;Filmin etkisini inanılmaz derecede aşılamışlar izleyiciye.;positive;positive;1.0;0.0;True;0.8333333333333334;0.1666666666666666;negative;0.0;1.0;False;True;False;True;False;True;False;False;False;1;1;0;"[""inanılmaz""]";[];[];"[""inan""]";[];"[""negation_flip""]";['negation_flip'];True;False;False;False;negation only;negation_flip;-1.0;1.0;True
1035;Kate Winsletin yaşlılığını oynayan Gloria Stuartda rolünün hakkını vermemiş.;positive;positive;0.025;0.0;True;0.3333333333333333;0.1111111111111111;negative;0.0;0.025;False;True;False;True;False;True;False;False;False;1;1;0;"[""hak""]";[];[];"[""ver""]";[];"[""negation_flip""]";['negation_flip'];True;False;False;False;negation only;negation_flip;-0.025;0.025;True
1084;süper bir film hiç bir film yerini yutamaz benim için;positive;positive;0.515625;0.5;True;0.9;0.3;negative;0.5;0.515625;False;True;False;True;False;True;False;False;False;3;3;0;"[""süper"", ""hiç"", ""yer""]";"[""film"", ""film""]";[];"[""yut""]";[];"[""negation_flip""]";['negation_flip'];True;False;False;False;negation only;negation_flip;-0.015625;0.015625;True
1107;Bu film için hiç bir yorum yetmez o kadar güzel gerçekçiki insan izlemeye doyamıyor.;positive;positive;0.5378787878787878;0.5;True;0.8571428571428571;0.2142857142857142;negative;0.4545454545454545;0.5833333333333334;False;True;False;True;False;True;False;False;False;3;3;0;"[""hiç"", ""güzel"", ""gerçek""]";"[""insan""]";[];"[""yet""]";[];"[""negation_flip""]";['negation_flip'];True;False;False;False;negation only;negation_flip;-0.08333333333333337;0.08333333333333337;True
1117;inanılmaz..;positive;positive;1.0;0.0;True;1.0;1.0;negative;0.0;1.0;False;True;False;True;False;True;False;False;False;1;1;0;"[""inanılmaz""]";[];[];"[""inan""]";[];"[""negation_flip""]";['negation_flip'];True;False;False;False;negation only;negation_flip;-1.0;1.0;True
1128;Yok 11 oscarı haketmedi yok saçma romantik vs.;negative;negative;0.0;0.7285714285714285;True;0.625;0.375;positive;0.4285714285714285;0.3;False;True;False;True;False;True;False;False;False;3;3;0;"[""yok"", ""yok"", ""saçma""]";"[""oscarı"", ""oscarı"", ""romantik""]";[];"[""haket"", ""haket""]";[];"[""negation_flip"", ""negation_flip""]";['negation_flip', 'negation_flip'];True;False;False;False;negation only;negation_flip;0.4285714285714285;-0.42857142857142855;True
1208;şimdiye kadar bu kadar güzel bir romantik film seyretmedim tabiki filmde yaşananlar gerçek olunca canım acıdı filmi seyrederken;positive;positive;1.76010101010101;0.5714285714285714;True;0.7777777777777778;0.2777777777777778;negative;0.5378787878787878;0.5714285714285714;False;True;False;True;False;False;False;False;True;5;3;2;"[""güzel"", ""yaşa"", ""gerçek"", ""can"", ""acı""]";"[""film"", ""yaşa"", ""can""]";[];[];[];"[""suppressed_as_target"", ""suppressed_as_target""]";['suppressed_as_target', 'suppressed_as_target'];False;True;False;False;suppression only;suppressed_as_target;-1.222222222222222;0.0;True
1271;..yıllar sonra bile unutulmayan bi aşk.;positive;positive;1.0;0.0;True;0.6666666666666666;0.1666666666666666;negative;0.0;1.0;False;True;False;True;False;True;True;False;False;1;1;0;"[""aşk""]";[];"[""sonra""]";"[""unut""]";[];"[""negation_flip"", ""modifier_detected""]";['negation_flip', 'modifier_detected'];True;False;True;False;negation only;modifier_detected + negation_flip;-1.0;1.0;True
