id;text;gold;hisnet_prediction;hisnet_positive_score;hisnet_negative_score;hisnet_correct;lexicon_coverage;sentiment_coverage;dependency_prediction;dependency_positive_score;dependency_negative_score;dependency_correct;prediction_changed;improved;degraded;changed_but_still_wrong;has_negation;has_modifier;has_contrast;has_suppression;scope_count;active_opinion_count;suppressed_count;opinions;targets;modifiers;negations;contrasts;operations;operation_list;has_negation_flip;has_suppression_operation;has_modifier_operation;has_contrast_operation;score_operation_group;operation_signature;positive_score_difference;negative_score_difference;score_changed
149;neden bu kadar sert eleştiriler yapılmış bilmiyorum ama ben filmi çıktığı sene izlediğimde tamamiyle ürpermiştim çok korkutucuydu:;neutral;negative;0.0;1.3888888888888888;False;0.6470588235294118;0.1176470588235294;positive;1.0;0.3888888888888889;False;True;False;False;True;True;True;True;False;2;2;0;"[""sert"", ""korkutucu""]";"[""eleştiri""]";"[""çok""]";"[""bil""]";"[""ama""]";"[""negation_flip"", ""modifier_detected"", ""contrast_detected""]";['negation_flip', 'modifier_detected', 'contrast_detected'];True;False;True;True;negation only;contrast_detected + modifier_detected + negation_flip;1.0;-1.0;True
179;.öle çok kötü diyemem ama neb biliyim.;neutral;negative;0.0;0.9208333333333334;False;0.8571428571428571;0.2857142857142857;positive;0.9208333333333334;0.0;False;True;False;False;True;True;True;False;False;2;2;0;"[""kötü"", ""de""]";[];"[""çok"", "".öle""]";"[""de"", ""de""]";[];"[""negation_flip"", ""modifier_detected"", ""negation_flip"", ""modifier_detected""]";['negation_flip', 'modifier_detected', 'negation_flip', 'modifier_detected'];True;False;True;False;negation only;modifier_detected + negation_flip;0.9208333333333334;-0.9208333333333334;True
205;Onun parçası değilsen rüyadasındır!;neutral;negative;0.0;0.1071428571428571;False;1.0;0.25;positive;0.1071428571428571;0.0;False;True;False;False;True;True;False;False;False;1;1;0;"[""parça""]";[];[];"[""değil""]";[];"[""negation_flip""]";['negation_flip'];True;False;False;False;negation only;negation_flip;0.1071428571428571;-0.1071428571428571;True
227;ama şimdi pek rastlamıyorum.;neutral;positive;0.125;0.0;False;0.75;0.25;negative;0.0;0.125;False;True;False;False;True;True;False;True;False;1;1;0;"[""pek""]";[];[];"[""rastla""]";"[""ama""]";"[""negation_flip"", ""contrast_detected""]";['negation_flip', 'contrast_detected'];True;False;False;True;negation only;contrast_detected + negation_flip;-0.125;0.125;True
288;orada olmayan adam demişki:;neutral;negative;0.0;0.0227272727272727;False;0.75;0.25;positive;0.0227272727272727;0.0;False;True;False;False;True;True;False;False;False;1;1;0;"[""adam""]";[];[];"[""ol""]";[];"[""negation_flip""]";['negation_flip'];True;False;False;False;negation only;negation_flip;0.0227272727272727;-0.0227272727272727;True
299;bu durumda geriye pek olasılık kalmıyor.;neutral;negative;0.125;0.1590909090909091;False;1.0;0.3333333333333333;positive;0.284090909090909;0.0;False;True;False;False;True;True;False;False;False;2;2;0;"[""geri"", ""pek""]";"[""olasılık""]";[];"[""kal""]";[];"[""negation_flip""]";['negation_flip'];True;False;False;False;negation only;negation_flip;0.159090909090909;-0.1590909090909091;True
351;outofcomment adamım sen filmden anlamıyon bence.;neutral;negative;0.0;0.0227272727272727;False;0.6666666666666666;0.1666666666666666;positive;0.0227272727272727;0.0;False;True;False;False;True;True;False;False;False;1;1;0;"[""adam""]";"[""sen""]";[];"[""anla""]";[];"[""negation_flip""]";['negation_flip'];True;False;False;False;negation only;negation_flip;0.0227272727272727;-0.0227272727272727;True
459;İNSANI BİLMEDİĞİ BİR YERE GİTMEKTEN KORKUTAN BİR FİLM.;neutral;positive;0.015625;0.0;False;0.75;0.125;negative;0.0;0.015625;False;True;False;False;True;True;False;False;False;1;1;0;"[""yer""]";[];[];"[""bilme""]";[];"[""negation_flip""]";['negation_flip'];True;False;False;False;negation only;negation_flip;-0.015625;0.015625;True
481;"""Bu çeviri üzerine kadim dostum Arda'yı anmadan edemeyeceğim.:)))""""""";neutral;positive;0.3;0.0;False;0.875;0.125;negative;0.0;0.3;False;True;False;False;True;True;False;False;False;1;1;0;"[""dost""]";"[""arda'yı""]";[];"[""an""]";[];"[""negation_flip""]";['negation_flip'];True;False;False;False;negation only;negation_flip;-0.3;0.3;True
483;Kadınlar ve para birleştiği zaman zaten perişan olmamak mümkün mü :);neutral;negative;0.0;0.375;False;0.9;0.1;positive;0.375;0.0;False;True;False;False;True;True;False;False;False;1;1;0;"[""perişan""]";[];[];"[""ol""]";[];"[""negation_flip""]";['negation_flip'];True;False;False;False;negation only;negation_flip;0.375;-0.375;True
