review;score
Filmi bugün Nişanlımla birlikte izleme şansım oldu. Avatarı ilk izlediğimde nedense çokta etkisinde kalmamıştım. bu filme de gittiğimde ilk filmi unutmuştum bile. Avatar 2 yi izleyince Avatar evreni ilgimi çekmeyi başardı. üçüncü filmi beklemiyorum desem yalan olur. Üçüncü Filmde fantastik ögelerden çok bilim kurgu yönünün ağır basması filmi daha anlamlı kılacağını düşünüyorum. Umarım üçüncü filmde yönetmen bu konuya önem verir. Onun dışında Film son zamanlarda izlediğim en naif en ahlaklı yapım diyebilirim. Ailecek gönül rahatlığıyla gidip izleyebilirsiniz. Günümüz yapımları gibi saçma sapan cinsel içerikli konuşmalardan, hareketlerden ibaret değildi. Filmde iki önemli mesaj vardı bunlardan biri aile diğeri küresel iklim değişikliği yani Doğa. Hep doğaya hemde aile yaşantısına karşı çokça mesaj çokça replik barındıran anlamlı bir filmdi. (Aile olmak hem en büyük zaafımız hemde en büyük gücümüz.) Üç saat olmasına rağmen hiçbir sıkılmadım. Aksiyon ve Trajediyi harmanlayıp izleyiciye çok iyi aktarıldığını düşünüyorum. Görsel efekt çekim teknikleri karakterler ve mekanlar harikulade diyebilirim. Tek kusur gördüğüm şey keşke iyi ve kötünün savaşını sadece bir aile sorununa indirgemeyip bu sorunu gezegenin tüm sorunu olarak göstermesi daha ihtişamlı olabilirdi. Sonuçta düşmanlar gezegene sadece Jake için gelmiyordu gezegeni tümüyle işgal edip, sömürmek için geliyordu. Ayrıca çocuk karakterler filmin yarısından sonra biraz fazla filme dahil olmaya başladı, bu bazı seyircileri sıkmış olabilir. Neyse sonuçta James Cameron müthiş bir evren oluşturmuş, izlemeye değer.;4,0
Film gerçekten hakkını veriyor. Saatin nasıl geçtiğini anlamıyorsunuz. Filmin geri kalan serisini sabırsızlıkla bekliyoruz.;5,0
Açıkçası film beklentilerimi karşılayamadı. Tabi her şeyin ilki güzel ama son seride iyi olabilirdi. Filmde görsel olarak her şey güzeldi kendimi filmi izledikten sonra ıslanmış gibi hissettim :D Puan kırdığım noktalar filmin bilim kurgudan fantastiğe doğru kayması. Ardından sır kapısına döndürüp iyilik yapan iyilik bulur moduna girmesi. Çoğu sahnelerin çocuklara hitap etmesi. Neyse serinin üçüncü filmi sağlam olucak gibi...;3,5
Bu eleştiride spoiler vardır! Avatar the way of Water tam anlamıyla bir dastan olmuş filmi 4dx bir salonda en önün en köşesinden izlememe rağmen filme hayranlık duydum... Filmin görselliğine büyülendim bir an olsun 3 saatlik süresine rağmen sıkılmadım farklı dünyalara atıldım tüm gündelik dertlerimi unutup ağzım açık bir şekilde izledim film bitince başım dönüyordu avatar 2 izlemesi gerçekten yorucu bir film olsada filmi 2. Kez birde imax olarak izleyeceğim. Film benim için dünyanın en iyi ilk 10 filmine girecek düzeyde ilk filmden epey önde muhteşem ötesi destansı bir işti. Şimdi filmi enine boyuna konuşacacağım. Film ilk filmin kaldığı yerden başlıyor Jake ve Neytiri'nin çocukları olmuş,bir aile olmuşlar film zaten tema olarak aile ve babalık üzerinden gidiyor. İlk filmde gördüğümüz Albay Miles kendini navi yapmış ve yine kötü karakter onun dışında filme eklenen ve gelecek filmlerde büyük önemi olacağını düşündüğüm Albayın oğlu Spider var,spider bence filmde iyi işlenmiş bir karakterdi ancak devam filmlerinde bir hainlik yapacsk gibiydi özellikle son kısımda, neyse ondan sonra muhteşem bir görsellik ve kurgu eşliğinde Pandorra 'nın ormanları yakıp Spiderı kaçırıyorlar Albay ve ordusu, bunun üzerine film tam olarak başlıyor diyebiliriz benim filmi ilk filmden daha çok sevmemin en büyük nedeni Pandorranın okyanusları bence ormanlarından daha ilgi çekici bir konu. Bu arada film de en çok yer alan çocuk hem de ilk çocukları olan Neyatam açıkçası filmin sonunda Neyetamın ölmesine hem şaşırdım hem de üzüldüm şaşırmamın nedeni filmde çok yer alıyor ve film onun üzerinden ilerliyor ama böyle giderken birden pat diye ölmesi garipti, neyse filmin sonunda 40 dakikalık bir aksiyon sahnesi var ve bu sahne izlediğim en iyi aksiyon sahnelerinden olabilir. Filmde etkileyici çok yer vardı ama bence etkileyici yer Neyetamın ölüsünü doğumuyla aynı pozisyonda o deniz yerine yatırmalarıydı... Ama ben filmin sonunda Spider 'ın Albayı kurtarmasına aşırı sinir oldum ya Ben cidden bir film daha aynı kötüyü görmek istemiyorum. Toparlarsak bu yazıyı filmi mutlaka izleyin,izletin gencinden,yaşlısına arthousecusundan gişe filmcisine herkesin izlemesi gereken bir başyapıttan bile öte bir şaheser umarım film gişede istediğini bulur ve her zaman böyle kusursuz işler izleriz. MUTLAKA İZLEYİN 10/10;5,0
SADECE SİNEMA KONUŞULAN, YORUMLAR YAPILAN, TAVSİYELER ALINIP VERİLEN BİR SİNEMA WHATSAPP GURUBU DÜŞÜNÜN. 2. YILIMIZI KUTLUYORUZ. 05522477170;5,0
Şirinlerin teknolojik versiyonu sinemanın geldiği dip nokta birincisi neydi ki ikincisi birşeye benzesin !!!!;0,5
Bugün sinemada izledim görsel olarak çok beğendim inşallah devamı gelir serinin ama tabi ilk filmin daha güzeldi sanki;5,0
seyretmedim daha ne diyebilirim ki boş konuşmak istemiyorum ilk defa giriyorum siteyee inşallah bekledigim gibi çıkar site;3,0
"Avatar1 benim en sevdiğim film dir, benim için filmlerin nirvanası ve bu kadar yıl ikincisini bekledikten sonra beklentim çok yüksek gittim. Gelelim avatar 2 ye; görsel efektler muhteşem, emek çok fazla, 3D izledim, bi ara koltuktan düşecekgibiydim tutunma ihtiyacı hissettim. Bunun için 5 yıldız. Gelelim hikayeye; [spoiler][/spoiler]Film Jake nin salak iki oğlunun aptallıkları yüzünden başlarına gelenleri anlatıyor. Film bu ikisine sinir olmakla geçiyor. Hani ilk filmi ormanda yaptıkya ikincisini de denizde çekelim demişler, çekmişler sadece. Ya çocukları kurtarmaya koca bir ordu gittiler, sadece aile (5kişi, jake ve ailesi) ve insan spider savaştı o kadar düşmana karşı. O koca ordu neredeydi, nereye kayboldu biri anlatsın ya? ya spider kardeşim navilerden misin, insanlardan mı? Baban olacak o yavşağı neden kurtardın? o zaman onun yanında kal niye navi lerle kalıyorsun, yada kurtarma.. Netice de en sevdiğim film olarak ben hikayeyi ve işlenişini beğenmedim, çok basit olmuş özellikle bukadar yıl bekledikten sonra. Hani görsel olmasa sıradan bir film. Bu yüzden 2 yıldız kestim. Filmi eğer izleyecekseniz görseli için mutlaka 3D izleyin, çok keyifli. tv de izlerim diyorsanız 3 saatinizi boşa harcamayın. Hikayesi için de beklentinizi yüksek tutmayın.[spoiler][/spoiler]";3,0
Berrak denizde su altı gündüz nasıl görünür, bir de gece ışıklar nasıl parıldar, 3,5 saat seyredip çıktık. Oğlum bile pişman oldu, &İlk bölümde de hiç konu yoktu, biz buna niye geldik& diye :) Ben de dedim, &En azından &12 yılda hazırlanan bir film nasıldır acaba?& diye artık merak etmeyeceğiz&. Milyon kere tekrarlanmış klişeler, &muhteşeme efektler& paketinde tekrar sunulmuş (kibarca ifade ediyorum). Efekt meraklıları, evde ortalardan bir yeri açıp 10 dakika bakarlarsa filmi seyretmiş olurlar. Filmin kendisi 6,5'u geçmez, efektlerin hakkını yemeyelim diye 7/10.;3,0
Sıkıldım ve başım ağrıdı. Konu sürükleyici değil. Kendilerince görsel bir şölen hazırlamışlar. O yönü fena değil ama bu kadar süre fazla;3,0
Film genel olarak güzeldi. Çok az yerde sıkıldım süresi bir tık uzun ama görsel açıdan çok kaliteli bir film olduğu için hiç sıkmıyor. Hikaye olarak bize ailenin önemini anlatan bir film olurken bir yandan farklı farklı karakterlerin kendi öz hikayesini anlatıyor. Bazı yerlerde mantık hataları var o da bir zahmet olsun ama James Cameron döktürmüş yine. Genel olarak Avatar filmini çok seven biri değilim bu filme de gittiğimde ilk filmi unuttum bile tabi bunun sebebi ilk film çok eski olması ama üçüncü filmi beklemiyorum desem yalan olur. Bence gişe rekoları kırabilecek bir film bakalım ilk filmi geçebilecek mi?;3,5
Efekt göresel bakımdan mükemmel bir film. Birincisine nazaran daha iyi olmuş. Keyif alacağınız bir film. Ellerinize sağlık avatar ekibi. Mutlaka izleyin;5,0
Kesinlikle vakit harcamaya değmez çok sıkılıp yarısında çıktık çocuk çizgi filmi mantığında yapılmış 2.45 dk lık bir zaman kaybı;0,5
James Cameron der dururum Bu adam Boş duvarı çekse film yapsa gider seyrederim. Avatar Suyun Yolu Muhteşem görsel şov ve geliştirilmiş cgi efektleri gerçeklik algısı 3D Harika bir biçimde işlenmiş, Öncelikle bu filmi kesinlikle İMAX VEYA SCREEN X3D sinemalarında izlemelisiniz çünkü filmin yapısı ona göre 3 saat lik sürede film hiç kopmuyor sürekli bir action var Jake Sully ve Neytri aile olmuşlar ve farklı bir evrende yeni navi türleriyle Pandora'nın müthiş okyanusu ve harika yeni canlı türlerine ve görsel şölene eşlik edeceksiniz. Filmin Ana teması doğayı Evrenin var oluşundaki enerjiyi ve hayat formlarını aileyi SEVGİYİ ve korumayı çok iyi işlemiş, Tabi senaryo daha da farklı geliştirilebilirdi ama bu devam filminin de geleceği anlamına geliyor. spoiler vermeden söyleyeyim bu tarz fantastik ve bilim kurgu yapıtlarını seviyorsanız gidin rahat kıyafetlerle oturun ve bambaşka hayal dünyasına dalın, Filmden çıkınca da İnsan ırkının hırsının bu evrende nasıl kötü bir tür olduğumuzu bir kez daha düşünün ve sorgulayın.&Her hayat ve enerji geçici verilmiş bir armağındır. zamanı geldiğinde geri vermek gerekir& Teşekkürler James CAMERON iyi seyiler;4,0
Filme girmeden önce yorumları okumuştum. Ya çok sevilmiş ya da hiç sevilmemiş olduğunu gördüm. Filmi izledikten sonra anladım ki olumsuz görüş sahiplerinin çoğunun mutsuzlukları mısır cipsi ve kola eşliğinde hepimizin aşina olduğu hollywood estetiği beklentisinin karşılanmamasındanmış. Böyle bir isteğiniz, beklentiniz varsa bu filmden hemen kaçın. Filmin böyle bir derdi yok. Filmin nasıl yaşadığımız, ya da yaşamak zorunda bırakıldıklarımizla ilgili söylemek istediği bir sürü şey var. Bunları , bu memnuniyetsizliklerini de doğal olarak -halinden memnun- bir bakış açısıyla anlatmıyor. Ayrıca size kurtarıcı bir kahraman da vaat etmiyor üzgünüm. Bu bokun içinde bir başınasınız! Şöyle düşünebiliriz, örneğin soğan, sarımsak yemiş bir adamın ağzınızın içine girerek dakikalarca konuşmasını bir 3. kişiye hissettirerek anlatmak istiyorsunuz. Dogru anlatırsanız adamın nasıl canı sıkılır degil mi, bu filmden de onu beklemek lazım. Bence film derdini anlatıyor sadece bazı bölümler bence son 2 bölüm gereğinden fazla hızlandırılmış, bir parça daha sindirerek ilerlerse daha derin bir ürüne dönüşebilirdi. Yine de son 2 yıldır izlediğim en iyi yerli filmdi. Emeği Geçen herkese Teşekkür ederim. Kurak Kayseri'den selamlar;4,0
hukukun adaletin yozmasligi, ahlak, harika bir turkiye alegorisi gerilim unsurlarini cok iyi kullanmis seyircinin kendisini rahat hissetmemesini saglamis katharsis yasatmamis tabi ki. alegorinin kotu tarafi sagolsun filmin reklamina cok vesile oldu, ilk haftasonu sayisi kis uykusu ahlat agacini gecmis. kendisini boyle basarilarda gormek cok onur verici cunku filmi tasarladigi siralarda biz muhendislere sinema sanati dersi veriyodu teknik universitede. gercekten inanilmaz dolu bir insan ve hayatimizda aldigimiz en iyi dersti sinif arkadaslarimla.;5,0
Nuri Bilge Ceylan tadında bir film Sinema şölenine hoş geldiniz.Yerellikten evrensellige ustaca atlamalar ve ilmek,ilmek örgüsüyle muhteşem bir görsel şölen.;5,0
Güzel bir film olmuş. Sürükleyici ve gerilim dolu. Bence son dönemlerdeki en iyi politik film. Günümüz sağ iktidarlarının kirli yüzünü ortaya çıkarmış.;3,5
