review;score
Kalite ortada #turkcellfestival;Positive
Karnım aç ama yemek yiyemiyorum saat geç olduğu için. Şişmanlık çok acı bi durum;Negative
Biraz vicdan, Biraz bahar, Biraz yağmur, Birkaç kitap, Az geçmiş, Biraz hayal, Çokça umut, Herkese iyi gelir…;Positive
#parasineyseverelimde şu turkcell günlük 167 sms yapmaktan vazgeçsin;Negative
Yine saçma sapan bir gece...;Negative
Bazı insanların varlığı bile mutluluk sebebi.;Positive
RT @Arslan_Cakr: Mutluluk haram bize .;Negative
#turkcell #vodafone #avea Turkcell Gold Plus Paketine Alternatif arıyorum arkadaşlar. Lütfen yardımcı olun :) #Turkcell 'den bıktım.;Negative
#turkcell seni Allah'a havale ediyorum.;Negative
RT @apolayzer: ULAN GECE GECE KAHKAHA ATTIM AQ SAJFHAKHGAKJFHAKJG http://t.co/R3ve2lmhAO;Positive
#hayattansogutanseyler uykunun en guzel yerinde Turkcell'den mesaj gelmesi.;Negative
Bahar nezlesi kış nezlesi amk nezlesi. Bi git benden;Negative
Bu gece depresyondan değil heyecan ve mutluluktan uyuyamıyorum💃🏼💃🏼;Positive
Yine uykusuz uzun bir gece;Negative
Sanırım turkcell benden hoşlanıyor.. Sıradışı mesajlarr , kampanyalarr , hediye dakikalarr , fırsatlarrr . Hep bi güzellik yapma derdinde :D;Positive
Mutluluk haram bize .;Negative
Ben galiba bahar depresyonuna girdim ya. Ya daha bahara gireli 20 Dakka oldu depresyonuna girecek vakti nasıl buldum ki?!;Negative
la ne gudubet bir hafta;Negative
Gece gece bari bu kadar reklam koymayın be;Positive
Çalış. Çünkü sen öğrencisin. Çünkü duyguların yok. Robotsun çünkü. Hayatının baharında sadece derslerine çalış. Aşık olma. Gezme. Dolaşma.;Negative
Ben ki her nisan bir yaş daha genç Her bahar biraz daha aşığım ☺ Kadir http://t.co/zf9eRHyq84;Positive
RT @ogzatbs: Bazı insanların varlığı bile mutluluk sebebi.;Positive
RT @TYAKISTIRAN: Zara nın sesi kadar orkestra da muhteşem dinlemeye doyamıyoruz @zaramuzik ve muhteşem orkestra çok teşekkürler bu güzel ge…;Positive
RT @SevdikBeKardes: Bak yine gece oldu karanlıkta kaldık özledik.;Negative
3 gün sonra sms paketim bitiyormuş,zaten turkcell mesaj atıp söylemese sms paketimin olduğunu unutmuştum yalnızım lan;Negative
ben artık eve bu saatte gelip akşam yemeğini bu saatte yemek istemiyorum ya bu nassssıl düzensiz bi hayattır..;Negative
gerçekten cok tsk ederim 2 gündür hattımı kullanamadıgım için,sistemlerinizin.neyse kötü oldugunu söyliyim yeter;Negative
RT @Politikanaliz: Erasmusçu arkadaşıma Türkiye^de halklar diye bir etnisitenin olmadığnı anlatmaktan gına geldi. Siz ne güzel yaşıyor Türk…;Negative
