Review;Score
janiston nasıl böyle saçma bir sahneli film de rol aldı anlayamadım.;Negative
5puan verdim o da anistonun güzel yüzünün hatırına.;Negative
son derece sıkıcı bir filim olduğunu söyleyebilirim.;Negative
..saçma bir konuyu nasılda filim yapmışlar maşallah;Negative
bence hoş vakit geçirmek için seyredilebilir.;Positive
hoş ve sevimli bir film.;Positive
eşcinsellere pek sempati duymamakla beraber bu filmde sanki onları sevimli göstermeye çalışmışlar gibi geldi.;Neutral
itici bir film değildi sonuçta.;Neutral
seyrederken bu kadar sinirlendiğim film hatırlamıyorum.;Negative
J.Aniston ın hiç mi umut yok diye sorduğu sahnede kıracaktım televizyonu!;Neutral
kimse yazmamış ben yazıyım:);Neutral
güzel bi pazar günü şirin bi film izlemek isteyenler için çok güzel.;Positive
. ama daha fazlası yok.;Negative
. biraz da durum orjinal işte.;Neutral
Küfürsüz bel atına pek vurmayan kaliteli bir romantik komedi sıcak samimi bir film.;Positive
..adam sandler ve özellikle drew barrymore rollerinde harikalar hala izlemediyseniz kaçırmayın!;Positive
Bence aldığı puanı kesinlikle haketmiş o kadar güldüm ki çok güzeldi;Positive
adam sandler harikaydı yine çooookkkkk komikkk izlemenizi tavsiye ederim :));Positive
Eğlenceli izlenebilir basit bir film.;Positive
Abartılacak bir yanı yok bence.;Neutral
Bu kadar puanı herhalde oyuncularından dolayı almıştır diye düşünüyorum.;Neutral
sirf oyuncu ismine puan veren arkadsslar yüzünden insanlar yanlis yönlendiriyolar gibime geliyor.;Negative
bu film 6-7 arasinda bi puan alir daha fazla degil.;Neutral
Hiç sıkmayan kaliteli bir seyirlik türünün en iyilerinden.;Positive
güzel vetatlı bir film.;Positive
pazar günü eşiniz yada sevgilinizle izlediğinizde tatlı bir tebessüm bırakan hoş bir film;Positive
Adam Sandler ın çoğu filminin olduğu gibi bu da iyiydi.;Positive
Drew Barrymore da ekstra güzellik katmış:;Positive
) Özellikle uçakta geçen sahnelere bayıldım.;Positive
"""cok cok cok güzel bir film tahmin ediyorum 10kez izlemisimdir ama yine izlerim sikilmam mutlaka izleyin derim en az10/9""""""";Positive
adam sandlerin 80lere damgasini vurmuş culture club şarkısını yorumlamasıda ayrı bi lezzet hele discoda new order blue monday şarkısını duymakta ayrı bir zevk;Positive
adam sandler bu filmde sadece oyunculukta değil şarkı söylemede de ne kadar başarılı olduğunu gözler önüne sermiştir.;Positive
. kesinlikle izlenmesi gereken bi film.;Positive
.. sakın adam sandlerin saç şekline bakıp izlememezlik etmeyin :;Neutral
drew berrymorun o sıcak gülüşüyle adam sandlerin muhteşem oyunculuğu biraraya gelirse ne olur?;Positive
işte böyle tatlı bir film olur.;Positive
İzlediğim en iyi üç romantik komediden biri.;Positive
Başrol oyuncularının uyumu harika.;Positive
İzlemenizi tavsiye ederim.;Positive
ya işte adam sandler ya yine harihaa yaa;Positive
kendini kabul ettiren çok eğlenceli bir romantik komedi.;Positive
aralarındaki samimiyet oldukça hoş ve gerçekten insanı doğru insan tanımı yapmaya zorluyor:;Positive
"""kendimi onunla yaşlanırken hayal edebileceğim birisi olmalı"""""""" derken.""";Positive
.fakat asıl dikkat çeken acı bir yön ise çapkın bir playboy olan drew hanım kızın sevgiliciğinin onu garson olmasına rağmen yanında tutma gerekçesi.;Negative
. çünkü garson olması aslında onun için sorun ama işte.;Negative
. kendi açıklıyor bu kesim için oyunun kuralları böyle değil mi gerçekte de zaten?;Neutral
?izlenesi bir film iyi eğlenceler.;Positive
Bir Adam Sandler klasigi.;Neutral
kesinlikle izlenmeli cok komik bir romantik/komedi.;Positive
bence kacirmamaniz gereken bir film.;Positive
Zaten Adam'in Spanglish ve Punch-Drunk Love disinda kotu filmini gormedim;Neutral
(Bide Steve Martin'le Mixed Nuts fazla iyi degildi ama yinede bunlar kadar kotu degildi).;Negative
Bu kadını seviyorum harika güzel biri içimi ısıtıyor.;Positive
.. Filmde Drew ile bir numara oluyor.;Positive
film tam benim genç kızlık dönemimde geçiyor.;Positive
o yılların müziklerini filmde duymak çok hoşuma gitti.;Positive
bana nostalji yaptırdı bu film.;Neutral
o yılların saflığı sevgisi çok güzeldi.;Positive
sevdim bu filmi çok sıcak ve çok sevimli hoş bir filmdi;Positive
Gzüel izlenebilir bi film.;Positive
Akıcı klsik bi tarzda kurgusu var ii idare eder.;Positive
80 lerin saçları bomba bunu bi kez daha hatırladım .;Neutral
"""hehe :)""""""";Positive
"""birbirine çok yakışan iki oyuncunun birlikte ilk filmiizleyipte beğenmeyen kimse yoktur heralde yorumlar hep olumlu yöndefilmin müzikleride bi harika romantik film sevenler için kaçırılmaması gereken bi film """"""""somebody kill me please!""";Positive
"""!!!"""""""" ---->filmdeki şarkının sevdiim en güzel bölümü:""";Positive
tekrar tekrar izlenecek müthiş bir film ben en az 20 defa izlemişimdir pişman değilim izlettğim onca insandan sevmedim diyen çıkmadı daha çıkacağını da sanmıyorum;Positive
50 ilk öpücük filmine yaptığım tüm yorumları bu film içinde söylemek istiyorum.;Neutral
..eski bi film olmasına rağmen defalarca kendini izlettirebilen bi film.;Positive
.. müzikler falan çok olmuş ciddende herkesin arşivinde yer alması gerken filmlerden.;Positive
.şiddetle tavsiye ediyorum 8/10;Positive
çook önceden izlediğim bu filme bayılmıştım.;Positive
adam sandler bu rolde çok şirin.;Positive
drew barrymore ile iyi bir ikili olmuşlar;Positive
Bu ikili bir araya gelir de filmleri kötü olur mu?;Positive
?Mümkün diil müthiş bi film zaten birlikte son yaptıkları 50 ilk öpücük de inanılmaz güzel bi film bu ikiliye dikkat çok yakışıyolar birbirilerine!!:));Positive
Sandler ve Berrymore' ı yanılmıyorsan ilk kez karşılaştıran yapım birde 50 İlk Öpücük var ikisini de görmediyseniz görün derim.;Positive
Gerçi bu film biraz eski bulmanız zor olabilir.;Neutral
