id;text;gold;hisnet_prediction;hisnet_positive_score;hisnet_negative_score;hisnet_correct;lexicon_coverage;sentiment_coverage;dependency_prediction;dependency_positive_score;dependency_negative_score;dependency_correct;prediction_changed;improved;degraded;changed_but_still_wrong;has_negation;has_modifier;has_contrast;has_suppression;scope_count;active_opinion_count;suppressed_count;opinions;targets;modifiers;negations;contrasts;operations;operation_list;has_negation_flip;has_suppression_operation;has_modifier_operation;has_contrast_operation;score_operation_group;operation_signature;positive_score_difference;negative_score_difference;score_changed
51;(Bide Steve Martin'le Mixed Nuts fazla iyi degildi ama yinede bunlar kadar kotu degildi).;negative;positive;0.6111111111111112;0.0;False;0.5;0.0714285714285714;negative;0.0;0.6111111111111112;True;True;True;False;False;True;True;False;False;1;1;0;"[""iyi""]";"[""steve""]";"[""fazla""]";"[""degil""]";[];"[""negation_flip"", ""modifier_detected""]";['negation_flip', 'modifier_detected'];True;False;True;False;negation only;modifier_detected + negation_flip;-0.6111111111111112;0.6111111111111112;True
65;tekrar tekrar izlenecek müthiş bir film ben en az 20 defa izlemişimdir pişman değilim izlettğim onca insandan sevmedim diyen çıkmadı daha çıkacağını da sanmıyorum;positive;negative;0.0;1.668560606060606;False;0.75;0.2083333333333333;positive;1.0;0.6685606060606061;True;True;True;False;False;True;True;False;False;5;5;0;"[""müthiş"", ""az"", ""pişman"", ""de"", ""da""]";"[""film"", ""ben"", ""film""]";"[""en""]";"[""değil"", ""sev"", ""çık""]";[];"[""modifier_detected"", ""negation_flip""]";['modifier_detected', 'negation_flip'];True;False;True;False;negation only;modifier_detected + negation_flip;1.0;-0.9999999999999999;True
75;Sandler ve Berrymore' ı yanılmıyorsan ilk kez karşılaştıran yapım birde 50 İlk Öpücük var ikisini de görmediyseniz görün derim.;positive;negative;0.25;1.0416666666666663;False;0.7368421052631579;0.2105263157894736;positive;1.25;0.0416666666666666;True;True;True;False;False;True;False;False;False;4;4;0;"[""öpücük"", ""de"", ""gör"", ""de""]";"[""yapım""]";[];"[""gör""]";[];"[""negation_flip""]";['negation_flip'];True;False;False;False;negation only;negation_flip;1.0;-0.9999999999999997;True
136;Filmde şiddet unsurlarından hiçmi hiç kaçınılmamış.;positive;negative;0.0;0.6666666666666666;False;0.6666666666666666;0.3333333333333333;positive;0.5;0.1666666666666666;True;True;True;False;False;True;False;False;False;2;2;0;"[""şiddet"", ""hiç""]";[];[];"[""kaçın""]";[];"[""negation_flip""]";['negation_flip'];True;False;False;False;negation only;negation_flip;0.5;-0.5;True
186;bu filmin 5 puan aldığına inanamıyorum.;positive;negative;0.0;0.1666666666666666;False;1.0;0.1666666666666666;positive;0.1666666666666666;0.0;True;True;True;False;False;True;False;False;False;1;1;0;"[""al""]";"[""film""]";[];"[""inan""]";[];"[""negation_flip""]";['negation_flip'];True;False;False;False;negation only;negation_flip;0.1666666666666666;-0.1666666666666666;True
211;İnsanlar keskin nişancılar yüzünden cenazelerini bile öldürüldükleri yerlerden alamıyor su için çeşme başında sırada beklerken yolda yürürken veya evinin içinde dolaşırken bir keskin nişancı tarafından öldürülmemek büyük başarı.;negative;positive;0.390625;0.2499999999999999;False;0.8214285714285714;0.1785714285714285;negative;0.1822916666666666;0.4583333333333333;True;True;True;False;False;True;False;False;False;5;5;0;"[""keskin"", ""yer"", ""al"", ""keskin"", ""başarı""]";"[""nişancı"", ""insan"", ""insan"", ""tarafından""]";[];"[""öl"", ""al"", ""al"", ""al""]";[];"[""negation_flip"", ""negation_flip""]";['negation_flip', 'negation_flip'];True;False;False;False;negation only;negation_flip;-0.2083333333333334;0.20833333333333343;True
217;Çevremizde dünyamızda olup bitenlere bu kadar duyarsız kalmayalım hiç değilse bu tarz bağımsız yapımlar aracılığı ile savaş soykırım gibi önemli konularda sizlerde doğru fikir ve bilgi sahibi olun herkese iyi seyirler dilerim.;positive;negative;0.9444444444444444;1.125;False;0.96875;0.1875;positive;1.3611111111111112;0.625;True;True;True;False;False;True;True;False;True;6;5;1;"[""duyarsız"", ""hiç"", ""savaş"", ""doğru"", ""iyi"", ""seyir""]";"[""seyir"", ""fikir"", ""seyir""]";"[""hiç""]";"[""değil""]";[];"[""modifier_detected"", ""negation_flip"", ""suppressed_as_target""]";['modifier_detected', 'negation_flip', 'suppressed_as_target'];True;True;True;False;negation + suppression;modifier_detected + negation_flip + suppressed_as_target;0.41666666666666674;-0.5;True
224;bir pazar sabahı kalkarsınız kahvaltınızı edersiniz ve tvde zaplarken bunu görürsünüz oturun izleyin gençler pişman olmazsınız.;positive;negative;0.0;2.175;False;0.6875;0.25;positive;1.125;1.05;True;True;True;False;False;True;False;False;False;4;4;0;"[""gör"", ""genç"", ""pişman"", ""olmaz""]";"[""bu"", ""kahvaltı""]";[];"[""ol"", ""ol""]";[];"[""negation_flip"", ""negation_flip""]";['negation_flip', 'negation_flip'];True;False;False;False;negation only;negation_flip;1.125;-1.1249999999999998;True
253;. üstelik bu zamana kadar arşivime eklemediğim için de çok pişman oldum.;positive;negative;0.0;1.0208333333333333;False;0.9090909090909092;0.1818181818181818;positive;1.0208333333333333;0.0;True;True;True;False;False;True;True;False;False;2;2;0;"[""de"", ""pişman""]";[];"[""çok""]";"[""ekle"", ""ekle""]";[];"[""negation_flip"", ""negation_flip"", ""modifier_detected""]";['negation_flip', 'negation_flip', 'modifier_detected'];True;False;True;False;negation only;modifier_detected + negation_flip;1.0208333333333333;-1.0208333333333333;True
257;. kaçırmayın derim.;positive;negative;0.0;0.0208333333333333;False;0.5;0.5;positive;0.0208333333333333;0.0;True;True;True;False;False;True;False;False;False;1;1;0;"[""de""]";[];[];"[""kaçır""]";[];"[""negation_flip""]";['negation_flip'];True;False;False;False;negation only;negation_flip;0.0208333333333333;-0.0208333333333333;True
