id;text;gold;hisnet_prediction;hisnet_positive_score;hisnet_negative_score;hisnet_correct;lexicon_coverage;sentiment_coverage;dependency_prediction;dependency_positive_score;dependency_negative_score;dependency_correct;prediction_changed;improved;degraded;changed_but_still_wrong;has_negation;has_modifier;has_contrast;has_suppression;scope_count;active_opinion_count;suppressed_count;opinions;targets;modifiers;negations;contrasts;operations;operation_list;has_negation_flip;has_suppression_operation;has_modifier_operation;has_contrast_operation;score_operation_group;operation_signature;positive_score_difference;negative_score_difference;score_changed
3;..saçma bir konuyu nasılda filim yapmışlar maşallah;negative;negative;0.0833333333333333;0.3;True;0.8571428571428571;0.2857142857142857;negative;0.0;0.3;True;False;False;False;False;False;False;False;False;1;1;0;"[""saçma""]";[];[];[];[];[];[];False;False;False;False;no score-changing operation;none;-0.0833333333333333;0.0;True
487;belki de insanlara bu filmi sevdiren onların bu filmde rol almasıdır;positive;negative;0.0;0.1875;False;0.9090909090909092;0.1818181818181818;negative;0.0;0.0208333333333333;False;False;False;False;False;False;False;False;False;1;1;0;"[""de""]";[];[];[];[];[];[];False;False;False;False;no score-changing operation;none;0.0;-0.16666666666666669;True
618;hayatım boyumca bir çok film izledim en heyecan verici film titanik izlerken hala ilk heyacın tadıyorum;positive;positive;0.125;0.0;True;0.75;0.125;positive;0.0625;0.0;True;False;False;False;False;False;False;False;False;1;1;0;"[""verici""]";[];[];[];[];[];[];False;False;False;False;no score-changing operation;none;-0.0625;0.0;True
1050;Hayatımda beni etkisi altına alan en iyi filmlerden biri;positive;positive;0.6111111111111112;0.0833333333333333;True;1.0;0.2222222222222222;positive;0.6111111111111112;0.0;True;False;False;False;False;False;True;False;False;1;1;0;"[""iyi""]";"[""film""]";"[""en""]";[];[];"[""modifier_detected""]";['modifier_detected'];False;False;True;False;no score-changing operation;modifier_detected;0.0;-0.0833333333333333;True
1181;izlediğim en iyi filmlerden biri;positive;positive;0.6111111111111112;0.0833333333333333;True;0.8;0.4;positive;0.6111111111111112;0.0;True;False;False;False;False;False;True;False;False;1;1;0;"[""iyi""]";"[""film""]";"[""en""]";[];[];"[""modifier_detected""]";['modifier_detected'];False;False;True;False;no score-changing operation;modifier_detected;0.0;-0.0833333333333333;True
1561;keşke ölmeseydi jack en sonunda onu hatırlayınca çok üzülüyorum ve kendimi geminin içinde hissediyorum;neutral;negative;0.0;0.25;False;0.7857142857142857;0.0714285714285714;neutral;0.0;0.0;True;True;True;False;False;False;False;False;False;0;0;0;[];[];[];[];[];[];[];False;False;False;False;no score-changing operation;none;0.0;-0.25;True
1755;bence tıtanıc hayatımda izlediğim en ama en güzel flim defalarca izledim ve defalarca izlerim tıtanıcı ve leonardo dı caprio yu ççççççççççççoooooooooooooooooooooooook seviyorum onun bir numaralı hayranıyım;positive;positive;0.9545454545454546;0.0;True;0.5769230769230769;0.0769230769230769;positive;0.4545454545454545;0.0;True;False;False;False;False;False;True;True;False;1;1;0;"[""güzel""]";"[""flim""]";"[""en"", ""en""]";[];"[""ama""]";"[""modifier_detected"", ""contrast_detected""]";['modifier_detected', 'contrast_detected'];False;False;True;True;no score-changing operation;contrast_detected + modifier_detected;-0.5000000000000001;0.0;True
1783;cok güzel bir film hele 97 filmiyse harika;positive;positive;1.4545454545454546;0.0;True;0.875;0.25;positive;0.4545454545454545;0.0;True;False;False;False;False;False;True;False;False;1;1;0;"[""güzel""]";"[""film""]";"[""cok""]";[];[];"[""modifier_detected""]";['modifier_detected'];False;False;True;False;no score-changing operation;modifier_detected;-1.0;0.0;True
2460;ben ikisinin ortası diyorum;neutral;negative;0.0;0.0208333333333333;False;1.0;0.25;neutral;0.0;0.0;True;True;True;False;False;False;False;False;False;0;0;0;[];[];[];[];[];[];[];False;False;False;False;no score-changing operation;none;0.0;-0.0208333333333333;True
2539;izlediğim en başarısız filmlerden biri;negative;negative;0.0;1.0833333333333333;True;0.8;0.4;negative;0.0;1.0;True;False;False;False;False;False;True;False;False;1;1;0;"[""başarısız""]";"[""film""]";"[""en""]";[];[];"[""modifier_detected""]";['modifier_detected'];False;False;True;False;no score-changing operation;modifier_detected;0.0;-0.08333333333333326;True
