review;score
giseye oynayan bir film.mel gibson'in oyunculugu yine çok kötü.film bastan sona duygu sömürüsü ama anlayan nerde!.;Negative
bircok yonden sahip olduklari zayifliklari populerligi iyi kullanmasiyla gidermis zayif bir yapim...;Negative
1995 ten bu yana bu tür filmler artti , o zamanlar basarili sayilabilecekse de suan emin degilim. konusu baya siradan ..;Negative
mel gibson tam bir ingiliz düsmani her filminde belirtiyor bunu. film yine cok iyi. biz kurtulus mücadelemizi böyle bir filmle simgeleyemedik. üzülüyorum bu yüzden..;Negative
milliyetçi bir film tavsiye etmiyorum....;Negative
saçma upuzun diyolaglar,kopuk sahneler,aniden biten bir film ve iste tarantino. . ( 1 de çok ya,hadi neyse).;Negative
bu filme çok güsel, 10 numara diyen arkadaslar olmus ama sanirim ben onlarla ayni filmi seyretmedim :s oyuncu kadrosu ne kadar iyi olursa olsn, film çok kötü. film de ne anlatilio ne amaçlanio hiç bisi belli deil, bence vaktinizi hiç bosa harcamayin daha güsel filmler seyredin;Negative
filmi seyretmeden önce bu siteye baktim ve 9.1 aldigini gördüm.sonra gönül rahatligiyla izlemeye basladim.filmde 2 saat geçti ve hiçbir sey olmadi.heralde tarantino son yarim saatte çosturtmustur dedim.sonra bir baktim film bitmis.tek kelimeyle anlamsiz bir film.yazik 2,5 saatime.....;Negative
senaryosu bes para etmesede tarantinonun akilda kalici sekilde çekmesi insanlara filmin güzel oldugunu düsündürmekte.marjinal ama güzel degil.;Negative
uzun sikici diyaloglariyla klasik bir tarantino filmi evet kurgu güzel ama film hep uzun sikici diyaloglarla dolu. izlerken çooook sikildim açikcasi.;Negative
bu kadar puani kesinlikle haketmedigini düsünüyorum.oyuncu kadrosu ve burada verilen puani düsünerek izlemistim filmi.fakat sonuç kesinlikle fiyasko.izledigim en kötü filmlerden biriydi..;Negative
tarantino sevmez olarak filmin müzikleri ve travoltanin oyunculugu disinda ne anladim ne begendim nede begenilmesini anlayabildim tarantinoya hayir...;Negative
yuhh..filme basyapit dedi yaa..;Negative
bir film ancak bu kadar geveze olur...;Negative
altaki yorumum unuttugum bir neden daha var.7- bol bol küfür..;Negative
sunu anladimki rezarvuar köpekleri,ucuz roman ve alpaçino nun oynadigi köstebek filmleri 5 para etmez ve bu filmde igrenç ötesiydi sanatsal film diolar bide ne sanati ya aranzda pariste dogan varmi bide herkes ii yorum yazmis esefle kiniyorum filmin tek kelimelik özetiii iğrençtiiiiiiiiiii.;Negative
sürekli siddet temali ve insani sikan uzun diyaloglari olan bir film .;Negative
kelimenin tam anlamiyla tras,berbat,rezalet,lüzumsuz vs..2 puan bile zor.;Negative
hayatimda izledigim en berbart 10 film listesinde yerini alacak olan film. tavsiye etmiyorum.....;Negative
beklentileri karsilamiyor 6 puan. puani fazla abartili.;Negative
filmin kaliteli bir komedi oldugunu söyleyemem, ebeveynlere ders vermek, nerde o eski zamanlar demek için yapilmis gibi bir havasi var. oldukça önemli oyunculari bünyesinde barindiran bir filmden daha fazlasi beklenirdi..;Negative
beni hayal kirikligina ugratan bir filmdi...;Negative
